experiment,mean_reward,std_reward,mean_scroll,mean_max_scroll,mean_max_leftmost_world_x,mean_enemies_killed,mean_squad_alive_at_end,mean_right_move_rate,mean_idle_rate,mean_invalid_move_rate,mean_shielded_invalid_move_rate,mean_attack_intent_rate,mean_scroll_locked_by_enemy_steps,mean_scroll_locked_by_lagging_player_steps,mean_squad_spread,mean_max_squad_spread,progress_reward_scale,kill_reward_scale,n_episodes,requested_name,total_timesteps,seed,quick,curriculum,fixed_curriculum_phase,save_replay_buffer,replay_buffer_path,replay_buffer_size_mb,replay_buffer_max_mb,curriculum_phases,device,buffer_size,learning_starts,policy_kwargs,checkpoint,max_steps,mean_steps,mean_invalid_move_count,mean_no_enemy_still_penalty_total,mean_lag_lock_penalty_total,mean_invalid_move_penalty_total,mean_offscreen_player_kills,mean_damage_taken_total,policy
20260504-123248_sac_invalid_move_features_1m,-55.515633333333696,40.68109786182497,0.6,0.6,3.0,0.1,2.6,0.1126,0.46626666666666666,0.3694,,0.0888,2.1,0.0,5.5744,9.1,0.25,3.0,10,sac_invalid_move_features_1m,1000000,42,False,True,,False,,,1024.0,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'invalid_move_penalty': 0.03, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'clear_right_step_reward': 0.02, 'lag_lock_penalty': 0.04, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.0, 'rough_scale': 0.0, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'invalid_move_penalty': 0.035, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'clear_right_step_reward': 0.015, 'lag_lock_penalty': 0.035, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'invalid_move_penalty': 0.04, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'clear_right_step_reward': 0.012, 'lag_lock_penalty': 0.03, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'invalid_move_penalty': 0.045, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'clear_right_step_reward': 0.01, 'lag_lock_penalty': 0.025, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/20260504-123248_sac_invalid_move_features_1m/best_model.zip,1500,1500.0,554.1,23.7619999999998,0.0,24.93450000000048,0.0,4.9,
20260504-153923_sac_resetfix_invalid_features_250k,20.87726666666689,28.21687358687697,32.5,32.5,39.7,1.0,1.6,0.6406176706827309,0.1574730923694779,0.45790843373493983,,0.9509301204819277,150.3,48.1,5.566571084337349,12.6,0.25,3.0,10,sac_resetfix_invalid_features_250k,250000,42,False,True,,False,,,1024.0,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'invalid_move_penalty': 0.03, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'clear_right_step_reward': 0.02, 'lag_lock_penalty': 0.04, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.0, 'rough_scale': 0.0, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'invalid_move_penalty': 0.035, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'clear_right_step_reward': 0.015, 'lag_lock_penalty': 0.035, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'invalid_move_penalty': 0.04, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'clear_right_step_reward': 0.012, 'lag_lock_penalty': 0.03, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'invalid_move_penalty': 0.045, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'clear_right_step_reward': 0.01, 'lag_lock_penalty': 0.025, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/20260504-153923_sac_resetfix_invalid_features_250k/best_model.zip,1500,1374.9,673.8,11.019999999999921,1.2025000000000103,30.32100000000066,0.0,17.7,
baseline_random,-5.180666666666604,2.2702801099815595,18.4,,,0.2,0.8,,,,,,,,,,,,10,,,42,,,,,,,,,,,,,,1500,1146.6,,,,,,,uniform_random_action
sac_1000k_high_leftmost,-20.35144999999997,18.938374083978978,8.0,8.0,10.7,0.5,2.4,0.8046,0.0484,,,0.24480512820512823,9.2,0.0,6.594738461538462,8.0,0.25,3.0,10,,,42,,,,,,,,,,,,,/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_1000k_high_leftmost/best_model.zip,1500,1365.6,,25.6114999999998,0.0,,0.0,8.3,
sac_1000k_lockclear_high_safe_scroll,7.469316666666191,38.319162354307934,1.3,,,0.2,3.0,,,,,,,,,,0.25,3.0,10,,1000000,42,False,True,,,,,,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.2, 'rough_scale': 0.5, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_1000k_lockclear_high_safe_scroll/best_model.zip,1500,1500.0,,,,,,,
sac_3k_smoke,-7.612499999999875,0.3375000000000402,0.0,,,0.0,2.7,,,,,,,,,,,,10,,,42,,,,,,,,,,,,,/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_3k_smoke/best_model.zip,1500,1360.5,,,,,,,
sac_500k_curriculum,55.70313333333239,19.13270478015153,13.3,,,0.2,2.4,,,,,,,,,,,,10,,500000,42,False,True,,,,,,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.2, 'rough_scale': 0.5, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_500k_curriculum/best_model.zip,1500,1359.6,,,,,,,
sac_500k_lockclear_balanced_p0p7_k1p5,37.86874999999934,10.656266175419233,7.9,,,0.5,2.4,,,,,,,,,,0.7,1.5,10,,500000,42,False,True,,,,,,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.2, 'rough_scale': 0.5, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_500k_lockclear_balanced_p0p7_k1p5/best_model.zip,1500,1500.0,,,,,,,
sac_500k_lockclear_combat_high_p0p25_k3p0,41.22075833333296,22.23983386982873,15.2,,,0.5,2.1,,,,,,,,,,0.25,3.0,10,,500000,42,False,True,,,,,,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.2, 'rough_scale': 0.5, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_500k_lockclear_combat_high_p0p25_k3p0/best_model.zip,1500,1362.0,,,,,,,
sac_500k_lockclear_combat_lean_p0p5_k2p0,35.32611666666629,30.227440701202827,17.4,,,0.4,2.5,,,,,,,,,,0.5,2.0,10,,500000,42,False,True,,,,,,"[{'index': 0, 'name': 'phase1_scroll_foundation', 'progress_reward': 0.18, 'step_cost': 0.002, 'idle_cost': 0.01, 'attack_attempt_bonus': 0.0, 'in_range_bonus_per_unit': 0.0, 'enemy_proximity_weight': 0.0, 'damage_scale': 0.02, 'kill_reward': 1.0, 'no_enemy_still_penalty_base': 0.01, 'no_enemy_still_penalty_cap': 0.12, 'column_config': {'enemy_spawn_scale': 0.0, 'enemy_spawn_min_x': 999999, 'terrain_block_scale': 0.2, 'rough_scale': 0.5, 'potion_p': 0.04}}, {'index': 1, 'name': 'phase2_weak_contact', 'progress_reward': 0.14, 'step_cost': 0.003, 'idle_cost': 0.008, 'attack_attempt_bonus': 0.03, 'in_range_bonus_per_unit': 0.03, 'enemy_proximity_weight': 0.008, 'damage_scale': 0.03, 'kill_reward': 1.25, 'no_enemy_still_penalty_base': 0.008, 'no_enemy_still_penalty_cap': 0.1, 'column_config': {'enemy_spawn_scale': 0.35, 'enemy_spawn_min_x': 18, 'enemy_hp_scale_mult': 0.7, 'enemy_atk_scale': 0.5, 'terrain_block_scale': 0.45, 'rough_scale': 0.7, 'potion_p': 0.04}}, {'index': 2, 'name': 'phase3_full_approach', 'progress_reward': 0.11, 'step_cost': 0.004, 'idle_cost': 0.006, 'attack_attempt_bonus': 0.04, 'in_range_bonus_per_unit': 0.025, 'enemy_proximity_weight': 0.006, 'damage_scale': 0.035, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.006, 'no_enemy_still_penalty_cap': 0.08, 'column_config': {'enemy_spawn_scale': 0.75, 'enemy_spawn_min_x': 12, 'enemy_hp_scale_mult': 0.85, 'enemy_atk_scale': 0.65, 'terrain_block_scale': 0.75, 'rough_scale': 0.9, 'potion_p': 0.035}}, {'index': 3, 'name': 'phase4_full_pressure', 'progress_reward': 0.09, 'step_cost': 0.005, 'idle_cost': 0.005, 'attack_attempt_bonus': 0.05, 'in_range_bonus_per_unit': 0.02, 'enemy_proximity_weight': 0.004, 'damage_scale': 0.04, 'kill_reward': 1.5, 'no_enemy_still_penalty_base': 0.005, 'no_enemy_still_penalty_cap': 0.06, 'column_config': {'enemy_spawn_scale': 1.0, 'enemy_spawn_min_x': 8, 'enemy_hp_scale_mult': 1.0, 'enemy_atk_scale': 0.75, 'terrain_block_scale': 1.0, 'rough_scale': 1.0, 'potion_p': 0.03}}]",cuda,200000,5000,"{'net_arch': [256, 256], 'features_dim': 256}",/home/user/Documents/Projects/EECS590-RL-Capstone/experiments/sac_500k_lockclear_combat_lean_p0p5_k2p0/best_model.zip,1500,1500.0,,,,,,,
